offline_datapoint_59 1683130814 0,193
offline_datapoint_2 1683130814 0,000
offline_datapoint_116 1683130813 0,577
offline_datapoint_28 1683130813 8,614
offline_datapoint_111 1683130813 0,000
offline_datapoint_85 1683130813 4,307
offline_datapoint_138 1683130813 4,022
offline_datapoint_81 1683130813 49,198
offline_datapoint_54 1683130813 4,220
offline_datapoint_107 1683130813 56,178
offline_datapoint_50 1683130813 0,000
offline_datapoint_24 1683130813 56,178
offline_datapoint_77 1683130813 259,134
offline_datapoint_20 1683130813 0,000
offline_datapoint_134 1683130813 259,134
offline_datapoint_46 1683130813 202,956
offline_datapoint_130 1683130813 0,000
offline_datapoint_103 1683130813 202,956
offline_datapoint_16 1683130813 92,241
offline_datapoint_99 1683130813 100,071
offline_datapoint_73 1683130813 96,156
offline_datapoint_126 1683130813 4,384
offline_datapoint_69 1683130813 0,000
offline_datapoint_42 1683130813 4,384
offline_datapoint_95 1683130816 9164,000
offline_datapoint_38 1683130816 491,000
offline_datapoint_12 1683130816 9655,000
offline_datapoint_65 1683130813 922001,196
offline_datapoint_8 1683130813 0,000
offline_datapoint_122 1683130813 922001,196
offline_datapoint_34 1683130813 5544144,243
offline_datapoint_118 1683130813 0,000
offline_datapoint_91 1683130813 5544144,243
offline_datapoint_4 1683130813 4622143,046
offline_datapoint_87 1683130813 0,000
offline_datapoint_61 1683130813 4622143,046
offline_datapoint_113 1683130813 0,000
offline_datapoint_56 1683130813 0,000
offline_datapoint_30 1683130813 0,000
offline_datapoint_83 1683130813 0,000
offline_datapoint_26 1683130813 0,000
offline_datapoint_0 1683130813 0,000
offline_datapoint_52 1683130813 0,000
offline_datapoint_136 1683130813 0,000
offline_datapoint_109 1683130813 0,000
offline_datapoint_22 1683130813 21394,927
offline_datapoint_105 1683130813 0,000
offline_datapoint_79 1683130813 21394,927
offline_datapoint_132 1683130813 22774,170
offline_datapoint_75 1683130813 0,000
offline_datapoint_48 1683130813 22774,170
offline_datapoint_101 1683130813 16412,116
offline_datapoint_44 1683130813 0,000
offline_datapoint_18 1683130813 16412,116
offline_datapoint_71 1683130813 0,098
offline_datapoint_14 1683130813 0,000
offline_datapoint_128 1683130813 0,098
offline_datapoint_40 1683130813 0,012
offline_datapoint_124 1683130813 0,000
offline_datapoint_97 1683130813 0,012
offline_datapoint_10 1683130813 0,086
offline_datapoint_93 1683130813 0,000
offline_datapoint_67 1683130813 0,086
offline_datapoint_120 1683130816 0,000
offline_datapoint_63 1683130816 0,000
offline_datapoint_36 1683130816 0,000
offline_datapoint_114 1683130813 51,226
offline_datapoint_98 1683130816 424652800,000
offline_datapoint_41 1683130816 252379136,000
offline_datapoint_125 1683130816 368156672,000
offline_datapoint_68 1683130816 5892067328,000
offline_datapoint_11 1683130816 30597120,000
offline_datapoint_37 1683130816 425357312,000
offline_datapoint_94 1683130816 234553344,000
offline_datapoint_121 1683130816 189698048,000
offline_datapoint_64 1683130816 147349504,000
offline_datapoint_7 1683130816 27332608,000
offline_datapoint_90 1683130816 3898314752,000
offline_datapoint_33 1683130813 1404,777
offline_datapoint_117 1683130816 8192,000
offline_datapoint_60 1683130816 48459776,000
offline_datapoint_3 1683130813 0,000
offline_datapoint_29 1683130816 4162788,000
offline_datapoint_112 1683130816 4065,000
offline_datapoint_86 1683130816 4262694912,000
offline_datapoint_55 1683130813 298,588
offline_datapoint_139 1683130813 1404,777
offline_datapoint_82 1683130813 0,000
offline_datapoint_25 1683130813 6882,627
offline_datapoint_108 1683130813 631,435
offline_datapoint_51 1683130813 14502,551
offline_datapoint_135 1683130813 6388,390
offline_datapoint_78 1683130813 0,000
offline_datapoint_21 1683130816 11502141440,000
offline_datapoint_104 1683130816 0,000
offline_datapoint_47 1683130816 0,000
offline_datapoint_131 1683130816 8192,000
offline_datapoint_74 1683130816 234553344,000
offline_datapoint_17 1683130816 7110656,000
offline_datapoint_100 1683130816 12514737,000
offline_datapoint_43 1683130816 14400,000
offline_datapoint_127 1683130813 376,685
offline_datapoint_70 1683130813 11,407
offline_datapoint_13 1683130813 35,339
offline_datapoint_96 1683130813 0,000
offline_datapoint_39 1683130813 0,000
offline_datapoint_123 1683130813 0,190
offline_datapoint_57 1683130813 51,193
offline_datapoint_66 1683130813 38,144
offline_datapoint_9 1683130813 12,820
offline_datapoint_92 1683130813 1843,161
offline_datapoint_35 1683130813 2202,798
offline_datapoint_119 1683130813 0,000
offline_datapoint_62 1683130813 883,912
offline_datapoint_5 1683130813 15682,128
offline_datapoint_88 1683130813 46,746
offline_datapoint_31 1683130816 17,000
offline_datapoint_15 1683130813 53,088
offline_datapoint_72 1683130813 7,398
offline_datapoint_89 1683130813 1,147
offline_datapoint_32 1683130813 8,584
offline_datapoint_6 1683130813 9,731
offline_datapoint_115 1683130813 56,178
offline_datapoint_58 1683130813 259,134
offline_datapoint_1 1683130813 202,956
offline_datapoint_84 1683130813 92,220
offline_datapoint_27 1683130813 4,384
offline_datapoint_110 1683130813 922001,196
offline_datapoint_53 1683130813 5544144,243
offline_datapoint_137 1683130813 4622143,046
offline_datapoint_80 1683130813 0,000
offline_datapoint_23 1683130813 0,000
offline_datapoint_106 1683130813 0,000
offline_datapoint_49 1683130813 21394,927
offline_datapoint_133 1683130813 22774,170
offline_datapoint_76 1683130813 16412,116
offline_datapoint_19 1683130813 0,097
offline_datapoint_102 1683130813 0,011
offline_datapoint_45 1683130813 0,086
