1683150238	0	1683150238
1683150238	1	1683150253
1683150253	2	1683150268
1683150268	3	1683150283
1683150283	4	1683150298
1683150298	5	1683150313
1683150313	6	1683150328
1683150328	7	1683150343
1683150343	8	1683150358
1683150358	9	1683150374
1683150374	10	1683150388
1683150388	11	1683150403
1683150403	12	1683150418
1683150418	13	1683150433
1683150433	14	1683150448
1683150448	15	1683150463
1683150463	16	1683150478
1683150478	17	1683150494
1683150494	18	1683150509
1683150509	19	1683150524
1683150524	20	1683150539
1683150539	21	1683150554
1683150554	22	1683150569
1683150569	23	1683150584
1683150584	24	1683150599
1683150599	25	1683150614
1683150614	26	1683150629
1683150629	27	1683150644
1683150644	28	1683150659
1683150659	29	1683150674
1683150674	30	1683150689
1683150689	31	1683150704
1683150704	32	1683150719
1683150719	33	1683150734
1683150734	34	1683150749
1683150749	35	1683150764
1683150764	36	1683150779
1683150779	37	1683150794
1683150794	38	1683154514
1683154514	21	1683154515
1683154515	20	1683154517
1683154517	19	1683154518
1683154518	18	1683154519
1683154519	17	1683154520
1683154520	16	1683154522
1683154522	15	1683154523
1683154523	14	1683154524
1683154524	12	1683154525
1683154525	11	1683154527
1683154527	9	1683154529
1683154529	6	1683154531
1683154531	4	1683154533
1683154533	3	1683154534
1683154534	2	1683154537
1683154537	1	1683154543
