172 1682732594 0,000000 0,000000 -101,000000 0,000000 0,000000
172 1682732595 0,000000 0,000000 -101,000000 0,000000 0,000000
172 1682732596 0,000000 0,000000 -101,000000 0,000000 0,000000
172 1682732597 0,000000 0,000000 -101,000000 0,000000 0,000000
172 1682732598 3,000000 0,200000 0,600000 0,600000 -20,200000
172 1682732599 3,000000 0,200000 1,200000 1,200000 -20,200000
172 1682732600 3,000000 0,200000 1,800000 1,800000 -20,200000
172 1682732601 3,000000 0,200000 2,400000 2,400000 -20,200000
172 1682732602 3,000000 0,200000 3,000000 3,000000 -20,200000
172 1682732603 1,500000 0,400000 3,600000 3,600000 -20,200000
172 1682732604 1,500000 0,400000 4,200000 4,200000 -20,200000
172 1682732605 1,500000 0,400000 4,800000 4,800000 -20,200000
172 1682732606 1,500000 0,400000 5,400000 5,400000 -20,200000
172 1682732607 1,500000 0,400000 6,000000 6,000000 -20,200000
172 1682732608 -0,666667 0,600000 5,600000 5,600000 -20,200000
172 1682732609 -0,666667 0,600000 5,200000 5,200000 -20,200000
172 1682732610 -0,666667 0,600000 4,800000 4,800000 -20,200000
172 1682732611 -0,666667 0,600000 4,400000 4,400000 -20,200000
172 1682732612 -0,666667 0,600000 4,000000 4,000000 -20,200000
172 1682732613 0,200000 1,000000 4,200000 4,200000 -20,200000
172 1682732614 0,200000 1,000000 4,400000 4,400000 -20,200000
172 1682732615 0,200000 1,000000 4,600000 4,600000 -20,200000
172 1682732616 0,200000 1,000000 4,800000 4,800000 -20,200000
172 1682732617 0,200000 1,000000 5,000000 5,000000 -20,200000
172 1682732618 0,285714 1,400000 5,400000 5,400000 -20,200000
172 1682732619 0,285714 1,400000 5,800000 5,800000 -20,200000
172 1682732620 0,285714 1,400000 6,200000 6,200000 -20,200000
172 1682732621 0,285714 1,400000 6,600000 6,600000 -20,200000
172 1682732622 0,285714 1,400000 7,000000 7,000000 -20,200000
172 1682732623 0,100000 2,000000 7,200000 7,200000 -20,200000
172 1682732624 0,100000 2,000000 7,400000 7,400000 -20,200000
172 1682732625 0,100000 2,000000 7,600000 7,600000 -20,200000
172 1682732626 0,100000 2,000000 7,800000 7,800000 -20,200000
172 1682732627 0,100000 2,000000 8,000000 8,000000 -20,200000
172 1682732628 0,000000 2,400000 8,000000 8,000000 -20,200000
172 1682732629 0,000000 2,400000 8,000000 8,000000 -20,200000
172 1682732630 0,000000 2,400000 8,000000 8,000000 -20,200000
172 1682732631 0,000000 2,400000 8,000000 8,000000 -20,200000
172 1682732632 0,000000 2,400000 8,000000 8,000000 -20,200000
172 1682732633 -0,066667 3,000000 7,800000 7,800000 -20,200000
172 1682732634 -0,066667 3,000000 7,600000 7,600000 -20,200000
172 1682732635 -0,066667 3,000000 7,400000 7,400000 -20,200000
172 1682732636 -0,066667 3,000000 7,200000 7,200000 -20,200000
