822 1682700339 0,600000 -1,000000 -101,000000 0,000000 0,000000
822 1682700340 0,600000 -1,000000 -101,000000 0,000000 0,000000
822 1682700341 0,600000 -1,000000 -101,000000 0,000000 0,000000
822 1682700342 0,600000 -1,000000 -101,000000 0,000000 0,000000
822 1682700343 0,600000 -1,000000 -101,000000 0,000000 0,000000
822 1682700344 1,000000 -1,000000 -101,000000 0,000000 0,000000
822 1682700345 1,000000 -1,000000 -101,000000 0,000000 0,000000
836 1682700344 0,600000 -1,000000 -101,000000 0,000000 0,000000
836 1682700345 0,600000 -1,000000 -101,000000 0,000000 0,000000
822 1682700346 1,000000 -1,000000 -101,000000 0,000000 0,000000
822 1682700347 1,000000 -1,000000 -101,000000 0,000000 0,000000
822 1682700348 1,000000 -1,000000 -101,000000 0,000000 0,000000
822 1682700349 0,800000 -1,000000 -101,000000 0,000000 0,000000
822 1682700350 0,800000 -1,000000 -101,000000 0,000000 0,000000
836 1682700346 0,600000 -1,000000 -101,000000 0,000000 0,000000
836 1682700347 0,600000 -1,000000 -101,000000 0,000000 0,000000
836 1682700348 0,600000 -1,000000 -101,000000 0,000000 0,000000
836 1682700349 1,000000 -1,000000 -101,000000 0,000000 0,000000
836 1682700350 1,000000 -1,000000 -101,000000 0,000000 0,000000
822 1682700351 0,800000 -1,000000 -101,000000 0,000000 0,000000
822 1682700352 0,800000 -1,000000 -101,000000 0,000000 0,000000
822 1682700353 0,800000 -1,000000 -101,000000 0,000000 0,000000
822 1682700354 0,800000 -1,000000 -101,000000 0,000000 0,000000
822 1682700355 0,800000 -1,000000 -101,000000 0,000000 0,000000
836 1682700351 1,000000 -1,000000 -101,000000 0,000000 0,000000
836 1682700352 1,000000 -1,000000 -101,000000 0,000000 0,000000
836 1682700353 1,000000 -1,000000 -101,000000 0,000000 0,000000
836 1682700354 0,800000 -1,000000 -101,000000 0,000000 0,000000
836 1682700355 0,800000 -1,000000 -101,000000 0,000000 0,000000
822 1682700356 0,800000 -1,000000 -101,000000 0,000000 0,000000
