157 1684773562 0,000278 0,200000 0,000278 0,000278 0,000000
154 1684773562 0,251017 0,200000 0,251017 0,251017 0,012602
157 1684773563 0,000278 0,200000 0,000278 0,000278 0,000000
154 1684773563 0,251017 0,200000 0,251017 0,251017 0,012602
157 1684773564 0,000278 0,200000 0,000278 0,000278 0,000000
154 1684773564 0,251017 0,200000 0,251017 0,251017 0,012602
157 1684773565 0,000278 0,200000 0,000278 0,000278 0,000000
154 1684773565 0,251017 0,200000 0,251017 0,251017 0,012602
157 1684773566 0,000278 0,200000 0,000278 0,000278 0,000000
154 1684773566 0,251017 0,200000 0,251017 0,251017 0,012602
160 1684773567 0,112265 0,200000 0,112265 0,112265 0,002521
160 1684773568 0,112265 0,200000 0,112265 0,112265 0,002521
160 1684773569 0,112265 0,200000 0,112265 0,112265 0,002521
160 1684773570 0,112265 0,200000 0,112265 0,112265 0,002521
160 1684773571 0,112265 0,200000 0,112265 0,112265 0,002521
177 1684773572 0,147692 0,200000 0,147692 0,147692 0,004363
177 1684773573 0,147692 0,200000 0,147692 0,147692 0,004363
177 1684773574 0,147692 0,200000 0,147692 0,147692 0,004363
177 1684773575 0,147692 0,200000 0,147692 0,147692 0,004363
177 1684773576 0,147692 0,200000 0,147692 0,147692 0,004363
181 1684773577 0,038718 0,200000 0,038718 0,038718 0,000300
157 1684773577 0,000188 0,200000 0,000188 0,000188 0,000000
154 1684773577 0,071641 0,200000 0,071641 0,071641 0,001026
181 1684773578 0,038718 0,200000 0,038718 0,038718 0,000300
157 1684773578 0,000188 0,200000 0,000188 0,000188 0,000000
154 1684773578 0,071641 0,200000 0,071641 0,071641 0,001026
181 1684773579 0,038718 0,200000 0,038718 0,038718 0,000300
157 1684773579 0,000188 0,200000 0,000188 0,000188 0,000000
154 1684773579 0,071641 0,200000 0,071641 0,071641 0,001026
181 1684773580 0,038718 0,200000 0,038718 0,038718 0,000300
157 1684773580 0,000188 0,200000 0,000188 0,000188 0,000000
154 1684773580 0,071641 0,200000 0,071641 0,071641 0,001026
181 1684773581 0,038718 0,200000 0,038718 0,038718 0,000300
157 1684773581 0,000188 0,200000 0,000188 0,000188 0,000000
154 1684773581 0,071641 0,200000 0,071641 0,071641 0,001026
160 1684773582 0,094440 0,200000 0,094440 0,094440 0,001784
184 1684773582 0,040010 0,200000 0,040010 0,040010 0,000320
160 1684773583 0,094440 0,200000 0,094440 0,094440 0,001784
184 1684773583 0,040010 0,200000 0,040010 0,040010 0,000320
160 1684773584 0,094440 0,200000 0,094440 0,094440 0,001784
184 1684773584 0,040010 0,200000 0,040010 0,040010 0,000320
160 1684773585 0,094440 0,200000 0,094440 0,094440 0,001784
184 1684773585 0,040010 0,200000 0,040010 0,040010 0,000320
160 1684773586 0,094440 0,200000 0,094440 0,094440 0,001784
184 1684773586 0,040010 0,200000 0,040010 0,040010 0,000320
187 1684773587 0,040248 0,200000 0,040248 0,040248 0,000324
177 1684773587 0,120150 0,200000 0,120150 0,120150 0,002887
187 1684773588 0,040248 0,200000 0,040248 0,040248 0,000324
177 1684773588 0,120150 0,200000 0,120150 0,120150 0,002887
187 1684773589 0,040248 0,200000 0,040248 0,040248 0,000324
177 1684773589 0,120150 0,200000 0,120150 0,120150 0,002887
187 1684773590 0,040248 0,200000 0,040248 0,040248 0,000324
177 1684773590 0,120150 0,200000 0,120150 0,120150 0,002887
187 1684773591 0,040248 0,200000 0,040248 0,040248 0,000324
177 1684773591 0,120150 0,200000 0,120150 0,120150 0,002887
193 1684773592 0,157222 0,200000 0,157222 0,157222 0,004944
181 1684773592 0,040900 0,200000 0,040900 0,040900 0,000335
157 1684773592 0,000187 0,200000 0,000187 0,000187 0,000000
196 1684773592 30,855618 0,200000 30,855618 30,855618 190,413829
154 1684773592 0,078213 0,200000 0,078213 0,078213 0,001223
190 1684773592 30,855709 0,200000 30,855709 30,855709 190,414951
154 1684773593 0,078213 0,200000 0,078213 0,078213 0,001223
157 1684773593 0,000187 0,200000 0,000187 0,000187 0,000000
193 1684773593 0,157222 0,200000 0,157222 0,157222 0,004944
181 1684773593 0,040900 0,200000 0,040900 0,040900 0,000335
196 1684773593 30,855618 0,200000 30,855618 30,855618 190,413829
190 1684773593 30,855709 0,200000 30,855709 30,855709 190,414951
193 1684773594 0,157222 0,200000 0,157222 0,157222 0,004944
181 1684773594 0,040900 0,200000 0,040900 0,040900 0,000335
157 1684773594 0,000187 0,200000 0,000187 0,000187 0,000000
196 1684773594 30,855618 0,200000 30,855618 30,855618 190,413829
154 1684773594 0,078213 0,200000 0,078213 0,078213 0,001223
190 1684773594 30,855709 0,200000 30,855709 30,855709 190,414951
193 1684773595 0,157222 0,200000 0,157222 0,157222 0,004944
181 1684773595 0,040900 0,200000 0,040900 0,040900 0,000335
157 1684773595 0,000187 0,200000 0,000187 0,000187 0,000000
196 1684773595 30,855618 0,200000 30,855618 30,855618 190,413829
154 1684773595 0,078213 0,200000 0,078213 0,078213 0,001223
190 1684773595 30,855709 0,200000 30,855709 30,855709 190,414951
193 1684773596 0,157222 0,200000 0,157222 0,157222 0,004944
181 1684773596 0,040900 0,200000 0,040900 0,040900 0,000335
157 1684773596 0,000187 0,200000 0,000187 0,000187 0,000000
196 1684773596 30,855618 0,200000 30,855618 30,855618 190,413829
154 1684773596 0,078213 0,200000 0,078213 0,078213 0,001223
190 1684773596 30,855709 0,200000 30,855709 30,855709 190,414951
160 1684773597 0,125329 0,200000 0,125329 0,125329 0,003141
184 1684773597 0,039614 0,200000 0,039614 0,039614 0,000314
160 1684773598 0,125329 0,200000 0,125329 0,125329 0,003141
184 1684773598 0,039614 0,200000 0,039614 0,039614 0,000314
160 1684773599 0,125329 0,200000 0,125329 0,125329 0,003141
184 1684773599 0,039614 0,200000 0,039614 0,039614 0,000314
160 1684773600 0,125329 0,200000 0,125329 0,125329 0,003141
160 1684773601 0,125329 0,200000 0,125329 0,125329 0,003141
184 1684773600 0,039614 0,200000 0,039614 0,039614 0,000314
184 1684773601 0,039614 0,200000 0,039614 0,039614 0,000314
202 1684773602 25,451649 0,200000 25,451649 25,451649 129,557292
205 1684773602 0,063641 0,400000 0,061568 0,065713 0,001622
199 1684773602 10,273356 0,200000 10,273356 10,273356 21,108370
190 1684773602 17,862590 0,400000 10,273436 25,451745 150,666959
202 1684773603 25,451649 0,200000 25,451649 25,451649 129,557292
205 1684773603 0,063641 0,400000 0,061568 0,065713 0,001622
199 1684773603 10,273356 0,200000 10,273356 10,273356 21,108370
190 1684773603 17,862590 0,400000 10,273436 25,451745 150,666959
202 1684773604 25,451649 0,200000 25,451649 25,451649 129,557292
205 1684773604 0,063641 0,400000 0,061568 0,065713 0,001622
199 1684773604 10,273356 0,200000 10,273356 10,273356 21,108370
190 1684773604 17,862590 0,400000 10,273436 25,451745 150,666959
202 1684773605 25,451649 0,200000 25,451649 25,451649 129,557292
205 1684773605 0,063641 0,400000 0,061568 0,065713 0,001622
199 1684773605 10,273356 0,200000 10,273356 10,273356 21,108370
190 1684773605 17,862590 0,400000 10,273436 25,451745 150,666959
202 1684773606 25,451649 0,200000 25,451649 25,451649 129,557292
205 1684773606 0,063641 0,400000 0,061568 0,065713 0,001622
199 1684773606 10,273356 0,200000 10,273356 10,273356 21,108370
190 1684773606 17,862590 0,400000 10,273436 25,451745 150,666959
157 1684773607 0,000156 0,200000 0,000156 0,000156 0,000000
154 1684773607 0,093236 0,200000 0,093236 0,093236 0,001739
157 1684773608 0,000156 0,200000 0,000156 0,000156 0,000000
154 1684773608 0,093236 0,200000 0,093236 0,093236 0,001739
157 1684773609 0,000156 0,200000 0,000156 0,000156 0,000000
154 1684773609 0,093236 0,200000 0,093236 0,093236 0,001739
157 1684773610 0,000156 0,200000 0,000156 0,000156 0,000000
154 1684773610 0,093236 0,200000 0,093236 0,093236 0,001739
157 1684773611 0,000156 0,200000 0,000156 0,000156 0,000000
154 1684773611 0,093236 0,200000 0,093236 0,093236 0,001739
160 1684773612 0,129852 0,200000 0,129852 0,129852 0,003372
160 1684773613 0,129852 0,200000 0,129852 0,129852 0,003372
160 1684773614 0,129852 0,200000 0,129852 0,129852 0,003372
160 1684773615 0,129852 0,200000 0,129852 0,129852 0,003372
160 1684773616 0,129852 0,200000 0,129852 0,129852 0,003372
177 1684773617 0,125318 0,200000 0,125318 0,125318 0,003141
177 1684773618 0,125318 0,200000 0,125318 0,125318 0,003141
177 1684773619 0,125318 0,200000 0,125318 0,125318 0,003141
177 1684773620 0,125318 0,200000 0,125318 0,125318 0,003141
177 1684773621 0,125318 0,200000 0,125318 0,125318 0,003141
181 1684773622 0,040237 0,200000 0,040237 0,040237 0,000324
157 1684773622 0,000193 0,200000 0,000193 0,000193 0,000000
154 1684773622 0,077621 0,200000 0,077621 0,077621 0,001205
181 1684773623 0,040237 0,200000 0,040237 0,040237 0,000324
157 1684773623 0,000193 0,200000 0,000193 0,000193 0,000000
154 1684773623 0,077621 0,200000 0,077621 0,077621 0,001205
181 1684773624 0,040237 0,200000 0,040237 0,040237 0,000324
157 1684773624 0,000193 0,200000 0,000193 0,000193 0,000000
154 1684773624 0,077621 0,200000 0,077621 0,077621 0,001205
181 1684773625 0,040237 0,200000 0,040237 0,040237 0,000324
157 1684773625 0,000193 0,200000 0,000193 0,000193 0,000000
154 1684773625 0,077621 0,200000 0,077621 0,077621 0,001205
181 1684773626 0,040237 0,200000 0,040237 0,040237 0,000324
157 1684773626 0,000193 0,200000 0,000193 0,000193 0,000000
154 1684773626 0,077621 0,200000 0,077621 0,077621 0,001205
160 1684773627 0,095025 0,200000 0,095025 0,095025 0,001806
184 1684773627 0,041085 0,200000 0,041085 0,041085 0,000338
160 1684773628 0,095025 0,200000 0,095025 0,095025 0,001806
184 1684773628 0,041085 0,200000 0,041085 0,041085 0,000338
160 1684773629 0,095025 0,200000 0,095025 0,095025 0,001806
184 1684773629 0,041085 0,200000 0,041085 0,041085 0,000338
160 1684773630 0,095025 0,200000 0,095025 0,095025 0,001806
184 1684773630 0,041085 0,200000 0,041085 0,041085 0,000338
160 1684773631 0,095025 0,200000 0,095025 0,095025 0,001806
184 1684773631 0,041085 0,200000 0,041085 0,041085 0,000338
187 1684773632 0,039397 0,200000 0,039397 0,039397 0,000310
177 1684773632 0,127103 0,200000 0,127103 0,127103 0,003231
187 1684773633 0,039397 0,200000 0,039397 0,039397 0,000310
177 1684773633 0,127103 0,200000 0,127103 0,127103 0,003231
187 1684773634 0,039397 0,200000 0,039397 0,039397 0,000310
177 1684773634 0,127103 0,200000 0,127103 0,127103 0,003231
187 1684773635 0,039397 0,200000 0,039397 0,039397 0,000310
177 1684773635 0,127103 0,200000 0,127103 0,127103 0,003231
187 1684773636 0,039397 0,200000 0,039397 0,039397 0,000310
177 1684773636 0,127103 0,200000 0,127103 0,127103 0,003231
193 1684773637 0,158385 0,400000 0,157043 0,159727 0,010035
157 1684773637 0,000165 0,200000 0,000165 0,000165 0,000000
196 1684773637 30,681103 0,200000 30,681103 30,681103 188,266019
154 1684773637 0,093912 0,200000 0,093912 0,093912 0,001764
190 1684773637 30,681189 0,200000 30,681189 30,681189 188,267075
193 1684773638 0,158385 0,400000 0,157043 0,159727 0,010035
157 1684773638 0,000165 0,200000 0,000165 0,000165 0,000000
196 1684773638 30,681103 0,200000 30,681103 30,681103 188,266019
154 1684773638 0,093912 0,200000 0,093912 0,093912 0,001764
190 1684773638 30,681189 0,200000 30,681189 30,681189 188,267075
193 1684773639 0,158385 0,400000 0,157043 0,159727 0,010035
157 1684773639 0,000165 0,200000 0,000165 0,000165 0,000000
196 1684773639 30,681103 0,200000 30,681103 30,681103 188,266019
154 1684773639 0,093912 0,200000 0,093912 0,093912 0,001764
190 1684773639 30,681189 0,200000 30,681189 30,681189 188,267075
193 1684773640 0,158385 0,400000 0,157043 0,159727 0,010035
157 1684773640 0,000165 0,200000 0,000165 0,000165 0,000000
196 1684773640 30,681103 0,200000 30,681103 30,681103 188,266019
154 1684773640 0,093912 0,200000 0,093912 0,093912 0,001764
190 1684773640 30,681189 0,200000 30,681189 30,681189 188,267075
193 1684773641 0,158385 0,400000 0,157043 0,159727 0,010035
157 1684773641 0,000165 0,200000 0,000165 0,000165 0,000000
196 1684773641 30,681103 0,200000 30,681103 30,681103 188,266019
154 1684773641 0,093912 0,200000 0,093912 0,093912 0,001764
190 1684773641 30,681189 0,200000 30,681189 30,681189 188,267075
211 1684773642 20,551498 0,200000 20,551498 20,551498 84,472812
208 1684773642 0,052281 0,200000 0,052281 0,052281 0,000547
205 1684773642 0,062857 0,200000 0,062857 0,062857 0,000790
154 1684773642 0,078967 0,200000 0,078967 0,078967 0,001247
190 1684773642 20,551578 0,200000 20,551578 20,551578 84,473470
211 1684773643 20,551498 0,200000 20,551498 20,551498 84,472812
208 1684773643 0,052281 0,200000 0,052281 0,052281 0,000547
205 1684773643 0,062857 0,200000 0,062857 0,062857 0,000790
154 1684773643 0,078967 0,200000 0,078967 0,078967 0,001247
190 1684773643 20,551578 0,200000 20,551578 20,551578 84,473470
211 1684773644 20,551498 0,200000 20,551498 20,551498 84,472812
208 1684773644 0,052281 0,200000 0,052281 0,052281 0,000547
205 1684773644 0,062857 0,200000 0,062857 0,062857 0,000790
154 1684773644 0,078967 0,200000 0,078967 0,078967 0,001247
190 1684773644 20,551578 0,200000 20,551578 20,551578 84,473470
211 1684773645 20,551498 0,200000 20,551498 20,551498 84,472812
208 1684773645 0,052281 0,200000 0,052281 0,052281 0,000547
205 1684773645 0,062857 0,200000 0,062857 0,062857 0,000790
154 1684773645 0,078967 0,200000 0,078967 0,078967 0,001247
190 1684773645 20,551578 0,200000 20,551578 20,551578 84,473470
211 1684773646 20,551498 0,200000 20,551498 20,551498 84,472812
208 1684773646 0,052281 0,200000 0,052281 0,052281 0,000547
205 1684773646 0,062857 0,200000 0,062857 0,062857 0,000790
154 1684773646 0,078967 0,200000 0,078967 0,078967 0,001247
190 1684773646 20,551578 0,200000 20,551578 20,551578 84,473470
160 1684773647 0,088673 0,200000 0,088673 0,088673 0,001573
154 1684773647 0,093693 0,200000 0,093693 0,093693 0,001756
214 1684773647 0,036872 0,200000 0,036872 0,036872 0,000272
160 1684773648 0,088673 0,200000 0,088673 0,088673 0,001573
154 1684773648 0,093693 0,200000 0,093693 0,093693 0,001756
214 1684773648 0,036872 0,200000 0,036872 0,036872 0,000272
160 1684773649 0,088673 0,200000 0,088673 0,088673 0,001573
154 1684773649 0,093693 0,200000 0,093693 0,093693 0,001756
214 1684773649 0,036872 0,200000 0,036872 0,036872 0,000272
160 1684773650 0,088673 0,200000 0,088673 0,088673 0,001573
154 1684773650 0,093693 0,200000 0,093693 0,093693 0,001756
214 1684773650 0,036872 0,200000 0,036872 0,036872 0,000272
160 1684773651 0,088673 0,200000 0,088673 0,088673 0,001573
154 1684773651 0,093693 0,200000 0,093693 0,093693 0,001756
214 1684773651 0,036872 0,200000 0,036872 0,036872 0,000272
160 1684773652 0,125364 0,200000 0,125364 0,125364 0,003143
157 1684773652 0,000159 0,200000 0,000159 0,000159 0,000000
154 1684773652 0,082616 0,200000 0,082616 0,082616 0,001365
217 1684773652 0,120217 0,200000 0,120217 0,120217 0,002890
177 1684773652 0,110222 0,200000 0,110222 0,110222 0,002430
160 1684773653 0,125364 0,200000 0,125364 0,125364 0,003143
157 1684773653 0,000159 0,200000 0,000159 0,000159 0,000000
154 1684773653 0,082616 0,200000 0,082616 0,082616 0,001365
217 1684773653 0,120217 0,200000 0,120217 0,120217 0,002890
177 1684773653 0,110222 0,200000 0,110222 0,110222 0,002430
160 1684773654 0,125364 0,200000 0,125364 0,125364 0,003143
157 1684773654 0,000159 0,200000 0,000159 0,000159 0,000000
154 1684773654 0,082616 0,200000 0,082616 0,082616 0,001365
217 1684773654 0,120217 0,200000 0,120217 0,120217 0,002890
177 1684773654 0,110222 0,200000 0,110222 0,110222 0,002430
160 1684773655 0,125364 0,200000 0,125364 0,125364 0,003143
157 1684773655 0,000159 0,200000 0,000159 0,000159 0,000000
154 1684773655 0,082616 0,200000 0,082616 0,082616 0,001365
217 1684773655 0,120217 0,200000 0,120217 0,120217 0,002890
177 1684773655 0,110222 0,200000 0,110222 0,110222 0,002430
160 1684773656 0,125364 0,200000 0,125364 0,125364 0,003143
157 1684773656 0,000159 0,200000 0,000159 0,000159 0,000000
154 1684773656 0,082616 0,200000 0,082616 0,082616 0,001365
217 1684773656 0,120217 0,200000 0,120217 0,120217 0,002890
177 1684773656 0,110222 0,200000 0,110222 0,110222 0,002430
160 1684773657 0,126511 0,200000 0,126511 0,126511 0,003201
181 1684773657 0,038883 0,200000 0,038883 0,038883 0,000302
205 1684773657 0,062380 0,200000 0,062380 0,062380 0,000778
220 1684773657 20,405189 0,200000 20,405189 20,405189 83,274344
190 1684773657 20,405263 0,200000 20,405263 20,405263 83,274955
177 1684773657 0,126230 0,200000 0,126230 0,126230 0,003187
190 1684773658 20,405263 0,200000 20,405263 20,405263 83,274955
160 1684773658 0,126511 0,200000 0,126511 0,126511 0,003201
181 1684773658 0,038883 0,200000 0,038883 0,038883 0,000302
205 1684773658 0,062380 0,200000 0,062380 0,062380 0,000778
220 1684773658 20,405189 0,200000 20,405189 20,405189 83,274344
177 1684773658 0,126230 0,200000 0,126230 0,126230 0,003187
160 1684773659 0,126511 0,200000 0,126511 0,126511 0,003201
181 1684773659 0,038883 0,200000 0,038883 0,038883 0,000302
205 1684773659 0,062380 0,200000 0,062380 0,062380 0,000778
220 1684773659 20,405189 0,200000 20,405189 20,405189 83,274344
190 1684773659 20,405263 0,200000 20,405263 20,405263 83,274955
177 1684773659 0,126230 0,200000 0,126230 0,126230 0,003187
160 1684773660 0,126511 0,200000 0,126511 0,126511 0,003201
181 1684773660 0,038883 0,200000 0,038883 0,038883 0,000302
205 1684773660 0,062380 0,200000 0,062380 0,062380 0,000778
220 1684773660 20,405189 0,200000 20,405189 20,405189 83,274344
190 1684773660 20,405263 0,200000 20,405263 20,405263 83,274955
177 1684773660 0,126230 0,200000 0,126230 0,126230 0,003187
160 1684773661 0,126511 0,200000 0,126511 0,126511 0,003201
181 1684773661 0,038883 0,200000 0,038883 0,038883 0,000302
205 1684773661 0,062380 0,200000 0,062380 0,062380 0,000778
220 1684773661 20,405189 0,200000 20,405189 20,405189 83,274344
190 1684773661 20,405263 0,200000 20,405263 20,405263 83,274955
177 1684773661 0,126230 0,200000 0,126230 0,126230 0,003187
184 1684773662 0,039409 0,200000 0,039409 0,039409 0,000311
184 1684773663 0,039409 0,200000 0,039409 0,039409 0,000311
181 1684773662 0,039073 0,200000 0,039073 0,039073 0,000305
181 1684773663 0,039073 0,200000 0,039073 0,039073 0,000305
177 1684773662 0,125849 0,200000 0,125849 0,125849 0,003168
177 1684773663 0,125849 0,200000 0,125849 0,125849 0,003168
184 1684773664 0,039409 0,200000 0,039409 0,039409 0,000311
