1683193728	0	1683193729
1683193729	1	1683193744
1683193744	2	1683193759
1683193759	3	1683193774
1683193774	4	1683193789
1683193789	5	1683193804
1683193804	6	1683193819
1683193819	7	1683193834
1683193834	8	1683193849
1683193849	9	1683193864
1683193864	10	1683193879
1683193879	11	1683193894
1683193894	12	1683193909
1683193909	13	1683193924
1683193924	14	1683193939
1683193939	15	1683193954
1683193954	16	1683193969
1683193969	17	1683193984
1683193984	18	1683193999
1683193999	19	1683194014
1683194014	20	1683194029
1683194029	21	1683194044
1683194044	22	1683194059
1683194059	23	1683194074
1683194074	24	1683194089
1683194089	25	1683194104
1683194104	26	1683194119
1683194119	27	1683194134
1683194134	28	1683194149
1683194149	29	1683194164
1683194164	30	1683194179
1683194179	31	1683194194
1683194194	32	1683194209
1683194209	33	1683194225
1683194225	34	1683194240
1683194240	35	1683194255
1683194255	36	1683194270
1683194270	37	1683194285
1683194285	38	1683194300
1683194300	39	1683194315
1683194315	40	1683198035
1683198035	12	1683198036
1683198036	10	1683198038
1683198038	9	1683198040
1683198040	8	1683198042
1683198042	7	1683198044
1683198044	6	1683198049
1683198049	5	1683198050
1683198050	4	1683198055
1683198055	2	1683198063
1683198063	1	1683198065
