offline_datapoint_70 1682700335 0,020
offline_datapoint_39 1682700335 0,000
offline_datapoint_24 1682700335 0,010
offline_datapoint_30 1682700335 82,558
offline_datapoint_22 1682700337 369016832,000
offline_datapoint_68 1682700337 191037440,000
offline_datapoint_37 1682700337 323231744,000
offline_datapoint_6 1682700337 8706383872,000
offline_datapoint_51 1682700337 77516800,000
offline_datapoint_66 1682700337 351244288,000
offline_datapoint_20 1682700337 217489408,000
offline_datapoint_35 1682700337 11571200,000
offline_datapoint_4 1682700337 146935808,000
offline_datapoint_49 1682700337 344051712,000
offline_datapoint_18 1682700337 2286321664,000
offline_datapoint_63 1682700335 0,000
offline_datapoint_32 1682700337 8192,000
offline_datapoint_1 1682700337 43085824,000
offline_datapoint_46 1682700335 0,000
offline_datapoint_60 1682700337 2723516,000
offline_datapoint_29 1682700337 2659,000
offline_datapoint_15 1682700337 2788880384,000
offline_datapoint_75 1682700335 0,000
offline_datapoint_44 1682700335 0,000
offline_datapoint_13 1682700335 0,000
offline_datapoint_58 1682700335 292,218
offline_datapoint_27 1682700335 1,331
offline_datapoint_73 1682700335 552,152
offline_datapoint_42 1682700335 283,565
offline_datapoint_11 1682700335 0,000
offline_datapoint_56 1682700337 10545815552,000
offline_datapoint_25 1682700337 0,000
offline_datapoint_71 1682700337 0,000
offline_datapoint_40 1682700337 8192,000
offline_datapoint_9 1682700337 217489408,000
offline_datapoint_54 1682700337 10481664,000
offline_datapoint_23 1682700337 12514806,000
offline_datapoint_69 1682700337 14400,000
offline_datapoint_38 1682700335 0,000
offline_datapoint_7 1682700335 0,351
offline_datapoint_52 1682700335 91,468
offline_datapoint_21 1682700335 0,000
offline_datapoint_67 1682700335 0,000
offline_datapoint_36 1682700335 0,130
offline_datapoint_76 1682700335 6,147
offline_datapoint_5 1682700335 2,600
offline_datapoint_50 1682700335 3,380
offline_datapoint_19 1682700335 7,988
offline_datapoint_64 1682700335 3796,503
offline_datapoint_33 1682700335 0,000
offline_datapoint_2 1682700335 949,209
offline_datapoint_47 1682700335 5465,274
offline_datapoint_16 1682700335 91,820
offline_datapoint_61 1682700337 5,000
offline_datapoint_53 1682700335 12,712
offline_datapoint_8 1682700335 6,908
offline_datapoint_34 1682700335 0,019
offline_datapoint_3 1682700335 0,000
offline_datapoint_65 1682700335 2,433
offline_datapoint_48 1682700335 42,641
offline_datapoint_17 1682700335 89,945
offline_datapoint_62 1682700335 47,305
offline_datapoint_31 1682700335 97,566
offline_datapoint_0 1682700335 1,333
offline_datapoint_45 1682700335 786636,077
offline_datapoint_14 1682700335 1374907,506
offline_datapoint_59 1682700335 588271,429
offline_datapoint_28 1682700335 0,000
offline_datapoint_74 1682700335 0,000
offline_datapoint_43 1682700335 0,000
offline_datapoint_12 1682700335 15286,044
offline_datapoint_57 1682700335 12435,831
offline_datapoint_26 1682700335 18448,000
offline_datapoint_72 1682700335 0,024
offline_datapoint_41 1682700335 0,008
offline_datapoint_10 1682700335 0,017
offline_datapoint_55 1682700337 0,000
offline_datapoint_70 1682700338 0,777
offline_datapoint_39 1682700338 0,000
offline_datapoint_24 1682700338 0,388
offline_datapoint_30 1682700338 82,774
offline_datapoint_22 1682700340 369217536,000
offline_datapoint_68 1682700340 190984192,000
offline_datapoint_37 1682700340 323567616,000
offline_datapoint_6 1682700340 8729153536,000
offline_datapoint_51 1682700340 70840320,000
offline_datapoint_66 1682700340 351244288,000
offline_datapoint_20 1682700340 218853376,000
offline_datapoint_35 1682700340 4042752,000
offline_datapoint_4 1682700340 146878464,000
offline_datapoint_49 1682700340 340766720,000
offline_datapoint_18 1682700340 2281451520,000
offline_datapoint_63 1682700338 364,112
offline_datapoint_32 1682700340 8192,000
offline_datapoint_1 1682700340 43085824,000
offline_datapoint_46 1682700338 0,000
offline_datapoint_60 1682700340 2708144,000
offline_datapoint_29 1682700340 2644,000
offline_datapoint_15 1682700340 2773139456,000
offline_datapoint_75 1682700338 367,443
offline_datapoint_44 1682700338 364,112
offline_datapoint_13 1682700338 0,000
offline_datapoint_58 1682700338 3175,735
offline_datapoint_27 1682700338 535,674
offline_datapoint_73 1682700338 11641,251
offline_datapoint_42 1682700338 7109,674
offline_datapoint_11 1682700338 0,000
offline_datapoint_56 1682700340 10545815552,000
offline_datapoint_25 1682700340 0,000
offline_datapoint_71 1682700340 0,000
offline_datapoint_40 1682700340 8192,000
offline_datapoint_9 1682700340 218853376,000
offline_datapoint_54 1682700340 10481664,000
offline_datapoint_23 1682700340 12514778,000
offline_datapoint_69 1682700340 14400,000
offline_datapoint_38 1682700338 86,614
offline_datapoint_7 1682700338 10,435
offline_datapoint_52 1682700338 50,372
offline_datapoint_21 1682700338 0,000
offline_datapoint_67 1682700338 0,130
offline_datapoint_36 1682700338 0,130
offline_datapoint_76 1682700338 39,094
offline_datapoint_5 1682700338 28,501
offline_datapoint_50 1682700338 10,542
offline_datapoint_19 1682700338 1952,812
offline_datapoint_64 1682700338 3729,065
offline_datapoint_33 1682700338 0,000
offline_datapoint_2 1682700338 794,183
offline_datapoint_47 1682700338 16115,862
offline_datapoint_16 1682700338 60,808
offline_datapoint_61 1682700340 5,000
offline_datapoint_53 1682700338 12,712
offline_datapoint_8 1682700338 6,908
offline_datapoint_34 1682700338 0,772
offline_datapoint_3 1682700338 1,661
offline_datapoint_65 1682700338 0,909
offline_datapoint_48 1682700338 24,680
offline_datapoint_17 1682700338 25,013
offline_datapoint_62 1682700338 0,334
offline_datapoint_31 1682700338 99,050
offline_datapoint_0 1682700338 0,334
offline_datapoint_45 1682700338 459332,416
offline_datapoint_14 1682700338 460698,460
offline_datapoint_59 1682700338 1366,044
offline_datapoint_28 1682700338 0,000
offline_datapoint_74 1682700338 0,000
offline_datapoint_43 1682700338 0,001
offline_datapoint_12 1682700338 18418,347
offline_datapoint_57 1682700338 4096,000
offline_datapoint_26 1682700338 18611,892
offline_datapoint_72 1682700338 0,009
offline_datapoint_41 1682700338 0,009
offline_datapoint_10 1682700338 0,000
offline_datapoint_55 1682700340 0,000
offline_datapoint_70 1682700341 0,889
offline_datapoint_39 1682700341 0,000
offline_datapoint_24 1682700341 0,445
offline_datapoint_30 1682700341 82,769
offline_datapoint_22 1682700343 369217536,000
offline_datapoint_68 1682700343 192122880,000
offline_datapoint_37 1682700343 323567616,000
offline_datapoint_6 1682700343 8728678400,000
offline_datapoint_51 1682700343 70832128,000
offline_datapoint_66 1682700343 351244288,000
offline_datapoint_20 1682700343 218927104,000
offline_datapoint_35 1682700343 4993024,000
offline_datapoint_4 1682700343 146878464,000
offline_datapoint_49 1682700343 340766720,000
offline_datapoint_18 1682700343 2281398272,000
offline_datapoint_63 1682700341 0,667
offline_datapoint_32 1682700343 8192,000
offline_datapoint_1 1682700343 43085824,000
offline_datapoint_46 1682700341 0,000
offline_datapoint_60 1682700343 2709020,000
offline_datapoint_29 1682700343 2645,000
offline_datapoint_15 1682700343 2774036480,000
offline_datapoint_75 1682700341 0,000
offline_datapoint_44 1682700341 0,667
offline_datapoint_13 1682700341 0,000
offline_datapoint_58 1682700341 340,177
offline_datapoint_27 1682700341 32,684
offline_datapoint_73 1682700341 681,021
offline_datapoint_42 1682700341 395,873
offline_datapoint_11 1682700341 0,000
offline_datapoint_56 1682700343 10545815552,000
offline_datapoint_25 1682700343 0,000
offline_datapoint_71 1682700343 0,000
offline_datapoint_40 1682700343 8192,000
offline_datapoint_9 1682700343 218927104,000
offline_datapoint_54 1682700343 10481664,000
offline_datapoint_23 1682700343 12514790,000
offline_datapoint_69 1682700343 14400,000
offline_datapoint_38 1682700341 0,667
offline_datapoint_7 1682700341 2,312
offline_datapoint_52 1682700341 91,282
offline_datapoint_21 1682700341 0,000
offline_datapoint_67 1682700341 0,000
offline_datapoint_36 1682700341 0,000
offline_datapoint_76 1682700341 4,637
offline_datapoint_5 1682700341 2,215
offline_datapoint_50 1682700341 2,475
offline_datapoint_19 1682700341 355,518
offline_datapoint_64 1682700341 3508,159
offline_datapoint_33 1682700341 0,000
offline_datapoint_2 1682700341 482,918
offline_datapoint_47 1682700341 6020,467
offline_datapoint_16 1682700341 93,594
offline_datapoint_61 1682700343 10,000
offline_datapoint_53 1682700341 12,712
offline_datapoint_8 1682700341 6,908
offline_datapoint_34 1682700341 0,888
offline_datapoint_3 1682700341 0,021
offline_datapoint_65 1682700341 0,426
offline_datapoint_48 1682700341 11,990
offline_datapoint_17 1682700341 13,322
offline_datapoint_62 1682700341 1,332
offline_datapoint_31 1682700341 99,620
offline_datapoint_0 1682700341 3,664
offline_datapoint_45 1682700341 55760,267
offline_datapoint_14 1682700341 73153,378
offline_datapoint_59 1682700341 17393,111
offline_datapoint_28 1682700341 0,000
offline_datapoint_74 1682700341 0,000
offline_datapoint_43 1682700341 0,001
offline_datapoint_12 1682700341 5491,200
