1682764065	0	1682764066
1682764066	1	1682764080
1682764080	2	1682764096
1682764096	3	1682764110
1682764110	4	1682764126
1682764126	5	1682764141
1682764141	6	1682764156
1682764156	7	1682764171
1682764171	8	1682764186
1682764186	9	1682764201
1682764201	10	1682765521
1682765521	11	1682765536
1682765536	12	1682765551
1682765551	13	1682765566
1682765566	14	1682765581
1682765581	15	1682765596
1682765596	16	1682765611
1682765611	17	1682765626
1682765626	18	1682765641
1682765641	19	1682765656
1682765656	20	1682766976
1682766976	21	1682766991
1682766991	22	1682767006
1682767006	23	1682767021
1682767021	24	1682767036
1682767036	25	1682767051
1682767051	26	1682767066
1682767066	27	1682767081
1682767081	28	1682767096
1682767096	29	1682767111
1682767111	30	1682768431
1682768431	31	1682768446
1682768446	32	1682768461
1682768461	33	1682768476
1682768476	34	1682768491
1682768491	35	1682768506
1682768506	36	1682768521
1682768521	37	1682768536
1682768536	38	1682768551
1682768551	39	1682768566
1682768566	40	1682769886
1682769886	41	1682769901
1682769901	42	1682769916
1682769916	43	1682769931
1682769931	44	1682769946
1682769946	45	1682769961
1682769961	46	1682769977
1682769977	47	1682769992
1682769992	48	1682770007
1682770007	49	1682770022
1682770022	50	1682771342
1682771342	47	1682771344
1682771344	44	1682771345
1682771345	41	1682771347
1682771347	40	1682771350
1682771350	39	1682771351
1682771351	38	1682771352
1682771352	37	1682771354
1682771354	36	1682771357
1682771357	35	1682771359
1682771359	34	1682771362
1682771362	33	1682771364
1682771364	31	1682771365
1682771365	30	1682771367
1682771367	28	1682771369
1682771369	24	1682771370
1682771370	20	1682771374
1682771374	19	1682771375
1682771375	18	1682771376
1682771376	17	1682771377
1682771377	12	1682771378
1682771378	11	1682771379
1682771379	10	1682771380
1682771380	7	1682771384
1682771384	6	1682771385
1682771385	4	1682771386
1682771386	3	1682771389
