1683148810	0	1683148812
1683148812	1	1683148826
1683148826	2	1683148841
1683148841	3	1683148856
1683148856	4	1683148871
1683148871	5	1683148886
1683148886	6	1683148901
1683148901	7	1683148916
1683148916	8	1683148931
1683148931	9	1683148946
1683148946	10	1683148961
1683148961	11	1683148976
1683148976	12	1683148991
1683148991	13	1683149006
1683149006	14	1683149021
1683149021	15	1683149036
1683149036	16	1683149051
1683149051	17	1683149066
1683149066	18	1683149081
1683149081	19	1683149096
1683149096	20	1683149111
1683149111	21	1683149126
1683149126	22	1683149141
1683149141	23	1683149156
1683149156	24	1683149171
1683149171	25	1683149186
1683149186	26	1683149201
1683149201	27	1683149216
1683149216	28	1683149231
1683149231	29	1683149246
1683149246	30	1683149261
1683149261	31	1683149276
1683149276	32	1683149292
1683149292	33	1683149307
1683149307	34	1683149322
1683149322	35	1683149337
1683149337	36	1683149352
1683149352	37	1683149367
1683149367	38	1683149882
