1684791562	0	1684791564
1684791564	1	1684791577
1684791577	2	1684791592
1684791592	3	1684791607
1684791607	4	1684791622
1684791622	5	1684791637
1684791637	6	1684791652
1684791652	7	1684791667
1684791667	8	1684791682
1684791682	9	1684791697
1684791697	10	1684791712
1684791712	11	1684791727
1684791727	12	1684791742
1684791742	13	1684791757
1684791757	14	1684791772
1684791772	15	1684791787
1684791787	16	1684791802
1684791802	17	1684791817
1684791817	18	1684791832
1684791832	19	1684791847
1684791847	20	1684791863
1684791863	21	1684791878
1684791878	22	1684791893
1684791893	23	1684791908
1684791908	24	1684791923
1684791923	25	1684791938
1684791938	26	1684791953
1684791953	27	1684795673
1684795673	15	1684795674
1684795674	14	1684795676
1684795676	13	1684795679
1684795679	12	1684795681
1684795681	11	1684795682
1684795682	10	1684795683
1684795683	9	1684795684
1684795684	8	1684795687
1684795687	5	1684795691
1684795691	4	1684795692
1684795692	3	1684795695
1684795695	1	1684795701
