402 1682763083 0,000000 0,000000 -101,000000 0,000000 0,000000
402 1682763084 0,000000 0,000000 -101,000000 0,000000 0,000000
402 1682763085 0,000000 0,000000 -101,000000 0,000000 0,000000
402 1682763086 0,000000 0,000000 -101,000000 0,000000 0,000000
402 1682763087 3,000000 0,200000 0,600000 0,600000 -20,200000
402 1682763088 3,000000 0,200000 1,200000 1,200000 -20,200000
402 1682763089 3,000000 0,200000 1,800000 1,800000 -20,200000
402 1682763090 3,000000 0,200000 2,400000 2,400000 -20,200000
402 1682763091 3,000000 0,200000 3,000000 3,000000 -20,200000
402 1682763092 1,000000 0,400000 3,400000 3,400000 -20,200000
402 1682763093 1,000000 0,400000 3,800000 3,800000 -20,200000
402 1682763094 1,000000 0,400000 4,200000 4,200000 -20,200000
402 1682763095 1,000000 0,400000 4,600000 4,600000 -20,200000
402 1682763096 1,000000 0,400000 5,000000 5,000000 -20,200000
402 1682763097 -0,333333 0,600000 4,800000 4,800000 -20,200000
402 1682763098 -0,333333 0,600000 4,600000 4,600000 -20,200000
402 1682763099 -0,333333 0,600000 4,400000 4,400000 -20,200000
402 1682763100 -0,333333 0,600000 4,200000 4,200000 -20,200000
402 1682763101 -0,333333 0,600000 4,000000 4,000000 -20,200000
402 1682763102 0,000000 1,000000 4,000000 4,000000 -20,200000
402 1682763103 0,000000 1,000000 4,000000 4,000000 -20,200000
402 1682763104 0,000000 1,000000 4,000000 4,000000 -20,200000
402 1682763105 0,000000 1,000000 4,000000 4,000000 -20,200000
402 1682763106 0,000000 1,000000 4,000000 4,000000 -20,200000
402 1682763107 0,500000 1,200000 4,600000 4,600000 -20,200000
402 1682763108 0,500000 1,200000 5,200000 5,200000 -20,200000
402 1682763109 0,500000 1,200000 5,800000 5,800000 -20,200000
402 1682763110 0,500000 1,200000 6,400000 6,400000 -20,200000
402 1682763111 0,500000 1,200000 7,000000 7,000000 -20,200000
402 1682763112 0,111111 1,800000 7,200000 7,200000 -20,200000
402 1682763113 0,111111 1,800000 7,400000 7,400000 -20,200000
402 1682763114 0,111111 1,800000 7,600000 7,600000 -20,200000
402 1682763115 0,111111 1,800000 7,800000 7,800000 -20,200000
402 1682763116 0,111111 1,800000 8,000000 8,000000 -20,200000
402 1682763117 0,090909 2,200000 8,200000 8,200000 -20,200000
402 1682763118 0,090909 2,200000 8,400000 8,400000 -20,200000
402 1682763119 0,090909 2,200000 8,600000 8,600000 -20,200000
402 1682763120 0,090909 2,200000 8,800000 8,800000 -20,200000
402 1682763121 0,090909 2,200000 9,000000 9,000000 -20,200000
402 1682763122 -0,071429 2,800000 8,800000 8,800000 -20,200000
402 1682763123 -0,071429 2,800000 8,600000 8,600000 -20,200000
402 1682763124 -0,071429 2,800000 8,400000 8,400000 -20,200000
402 1682763125 -0,071429 2,800000 8,200000 8,200000 -20,200000
402 1682763126 -0,071429 2,800000 8,000000 8,000000 -20,200000
402 1682763127 0,000000 2,800000 8,000000 8,000000 -20,200000
402 1682763128 0,000000 2,800000 8,000000 8,000000 -20,200000
402 1682763129 0,000000 2,800000 8,000000 8,000000 -20,200000
402 1682763130 0,000000 2,800000 8,000000 8,000000 -20,200000
402 1682763131 0,000000 2,800000 8,000000 8,000000 -20,200000
402 1682763132 0,200000 3,000000 8,600000 8,600000 -20,200000
402 1682763133 0,200000 3,000000 9,200000 9,200000 -20,200000
402 1682763134 0,200000 3,000000 9,800000 9,800000 -20,200000
402 1682763135 0,200000 3,000000 10,400000 10,400000 -20,200000
402 1682763136 0,200000 3,000000 11,000000 11,000000 -20,200000
402 1682763137 0,125000 3,200000 11,400000 11,400000 -20,200000
402 1682763138 0,125000 3,200000 11,800000 11,800000 -20,200000
402 1682763139 0,125000 3,200000 12,200000 12,200000 -20,200000
402 1682763140 0,125000 3,200000 12,600000 12,600000 -20,200000
402 1682763141 0,125000 3,200000 13,000000 13,000000 -20,200000
402 1682763142 -0,058824 3,400000 12,800000 12,800000 -20,200000
402 1682763143 -0,058824 3,400000 12,600000 12,600000 -20,200000
402 1682763144 -0,058824 3,400000 12,400000 12,400000 -20,200000
402 1682763145 -0,058824 3,400000 12,200000 12,200000 -20,200000
402 1682763146 -0,058824 3,400000 12,000000 12,000000 -20,200000
402 1682763147 0,000000 3,800000 12,000000 12,000000 -20,200000
402 1682763148 0,000000 3,800000 12,000000 12,000000 -20,200000
402 1682763149 0,000000 3,800000 12,000000 12,000000 -20,200000
402 1682763150 0,000000 3,800000 12,000000 12,000000 -20,200000
402 1682763151 0,000000 3,800000 12,000000 12,000000 -20,200000
402 1682763152 0,000000 4,000000 12,000000 12,000000 -20,200000
402 1682763153 0,000000 4,000000 12,000000 12,000000 -20,200000
402 1682763154 0,000000 4,000000 12,000000 12,000000 -20,200000
402 1682763155 0,000000 4,000000 12,000000 12,000000 -20,200000
402 1682763156 0,000000 4,000000 12,000000 12,000000 -20,200000
402 1682763157 0,000000 4,600000 12,000000 12,000000 -20,200000
402 1682763158 0,000000 4,600000 12,000000 12,000000 -20,200000
402 1682763159 0,000000 4,600000 12,000000 12,000000 -20,200000
402 1682763160 0,000000 4,600000 12,000000 12,000000 -20,200000
402 1682763161 0,000000 4,600000 12,000000 12,000000 -20,200000
402 1682763162 0,192308 5,200000 13,000000 13,000000 -20,200000
402 1682763163 0,192308 5,200000 14,000000 14,000000 -20,200000
402 1682763164 0,192308 5,200000 15,000000 15,000000 -20,200000
402 1682763165 0,192308 5,200000 16,000000 16,000000 -20,200000
402 1682763166 0,192308 5,200000 17,000000 17,000000 -20,200000
402 1682763167 0,107143 5,600000 17,600000 17,600000 -20,200000
402 1682763168 0,107143 5,600000 18,200000 18,200000 -20,200000
402 1682763169 0,107143 5,600000 18,800000 18,800000 -20,200000
402 1682763170 0,107143 5,600000 19,400000 19,400000 -20,200000
402 1682763171 0,107143 5,600000 20,000000 20,000000 -20,200000
402 1682763172 0,032258 6,200000 20,200000 20,200000 -20,200000
402 1682763173 0,032258 6,200000 20,400000 20,400000 -20,200000
402 1682763174 0,032258 6,200000 20,600000 20,600000 -20,200000
402 1682763175 0,032258 6,200000 20,800000 20,800000 -20,200000
402 1682763176 0,032258 6,200000 21,000000 21,000000 -20,200000
402 1682763177 0,000000 7,000000 21,000000 21,000000 -20,200000
402 1682763178 0,000000 7,000000 21,000000 21,000000 -20,200000
402 1682763179 0,000000 7,000000 21,000000 21,000000 -20,200000
402 1682763180 0,000000 7,000000 21,000000 21,000000 -20,200000
402 1682763181 0,000000 7,000000 21,000000 21,000000 -20,200000
